"left","right"
"HARRY","Thanks."
"HARRY","I found what you wrote"
"HARRY","in The Daily Prophet really moving."
"HARRY","You obviously knew Dumbledore well."
"HARRY","Well, I certainly knew him the longest."
"HARRY","That is, if you don't count his brother,"
"HARRY","Aberforth..."
"HARRY","...and somehow, people never do"
"HARRY","seem to count Aberforth."
"HARRY","- I didn't even know he had a brother."
"HARRY","- Ah."
"HARRY","Well, Dumbledore was always"
"HARRY","very private, even as a boy."
"HARRY","Don't despair, Elphias."
"HARRY","I'm told he's been thoroughly"
"HARRY","unriddled by Rita Skeeter..."
"HARRY","...in 800 pages, no less."
"HARRY","Word has it that someone talked to her."
"HARRY","Someone who knew"
"HARRY","the Dumbledore family well."
"HARRY","Both you and I know who that is,"
"HARRY","Elphias."
"HARRY","A monstrous betrayal."
"HARRY","Who are we talking about?"
"HARRY","Bathilda Bagshot."
"HARRY","- Who?"
"HARRY","...she's only the most celebrated"
"HARRY","magical historian of the last century."
"HARRY","She was as close"
"HARRY","to the Dumbledores as anyone."
"HARRY","Oh, I'm sure Rita Skeeter thought"
"HARRY","it well worth a trip to Godric's Hollow..."
"HARRY","...to take a peek"
"HARRY","into that old bird's rattled cage."
"HARRY","Godric's Hollow?"
"HARRY","Bathilda Bagshot"
"HARRY","lives at Godric's Hollow?"
"HARRY","Well, that's where"
"HARRY","she first met Dumbledore."
"HARRY","You don't mean to say"
"HARRY","he lived there too?"
"HARRY","The family moved there"
"HARRY","after his father killed those three Muggles."
"HARRY","Oh, it was quite the scandal."
"HARRY","Honestly, my boy,"
"HARRY","are you sure you knew him at all?"
"HARRY","[GASPING AND MURMURING]"
"SHACKLEBOLT","The Ministry has fallen."
"SHACKLEBOLT","The Minister of Magic is dead."
"SHACKLEBOLT","[WHISPERING]"
"SHACKLEBOLT","They are coming."
"SHACKLEBOLT","They are coming."
"SHACKLEBOLT","They are coming."
"WOMAN 1","They're coming!"
"WOMAN 1","Nice meeting you, Mr. Potter."
"WOMAN 1","[WOMAN 2 SHRIEKS]"
"WOMAN 1","- Harry! Go!"
"WOMAN 1","Go!"
"WOMAN 1","[HORN HONKS]"
"WOMAN 1","Here you go, sightseeing tour?"
"WOMAN 1","Leaves in 15 minutes."
"WOMAN 1","- Where are we?"
"WOMAN 1","- Shaftesbury Avenue."
"WOMAN 1","I used to come to the theater here"
"WOMAN 1","with Mom and Dad."
"WOMAN 1","I don't know why I thought of it."
"WOMAN 1","It just popped into my head."
"WOMAN 1","This way."
"HERMIONE","We need to change."
"RON","How the ruddy...?"
"RON","Undetectable Extension Charm."
"RON","You're amazing, you are."
"RON","Always the tone of surprise."
"RON","[THUD]"
"RON","Ah. That'll be the books."
"RON","What about all the people"
"RON","at the wedding?"
"RON","- Do you think we should go back?"
"RON","- They were after you."
"RON","We'd put everyone in danger"
"RON","by going back."
"RON","[MUFFLED MUSIC"
"RON","PLAYING OVER HEADPHONES]"
"RON","- Ron's right."
"RON","Coffee?"
"RON","- You?"
"RON","- What she said."
"RON","- Same."
"RON","So where do we go from here?"
"RON","Leaky Cauldron?"
"RON","It's too dangerous."
"RON","If Voldemort has taken over the Ministry,"
"RON","none of the old places are safe."
"RON","Everyone from the wedding"
"RON","will have gone underground, into hiding."
"RON","My rucksack with all my things,"
"RON","I've left it at the Burrow."
"RON","[DOOR OPENS THEN CLOSES]"
"RON","You're joking."
"RON","[SIGHS]"
"RON","I've had all the essentials packed"
"RON","for days, just in case."
"RON","By the way, these jeans, not my favorite."
"HARRY","Down!"
"HARRY","Stupefy!"
"HARRY","[SINGING INDISTINCTLY]"
"DOLOHOV","Expulso!"
"DOLOHOV","[GRUNTS]"
"DOLOHOV","Petrificus Totalus."
"DOLOHOV","Go."
"DOLOHOV","Leave."
"HARRY","Lock the door, get the lights."
"HARRY","[GLASS RATTLING]"
"HARRY","This one's name is Rowle."
"HARRY","He was on the Astronomy Tower"
"HARRY","the night Snape killed Dumbledore."
"HARRY","This is Dolohov. I recognize him"
"HARRY","from the wanted posters."
"HARRY","So, what we gonna do with you, hey?"
"HARRY","Kill us if it was turned round,"
"HARRY","wouldn't you?"
"HARRY","If we kill them, they'll know we were here."
"HERMIONE","Ron."
"HERMIONE","Suppose he did Mad-Eye."
"HERMIONE","How would you feel then?"
"HERMIONE","It's better we wipe their memories."
"HERMIONE","You're the boss."
"HERMIONE","Hermione..."
"HERMIONE","...you're the best at spells."
"HERMIONE","Obliviate."
"HARRY","How is it they knew we were there?"
"HERMIONE","Maybe you still have the Trace on you?"
"HERMIONE","Can't be. Trace breaks at 17."
"HERMIONE","It's wizarding law."
"HERMIONE","[HERMIONE GASPS]"
"HERMIONE","What?"
"HERMIONE","We didn't celebrate your birthday, Harry."
"HERMIONE","Ginny and I, we prepared a cake."
"HERMIONE","We were going to bring it out"
"HERMIONE","at the end of the wedding."
"HERMIONE","I appreciate the thought, but given the fact"
"HERMIONE","that we were almost killed..."
"HERMIONE","...by a couple of Death Eaters"
"HERMIONE","a few minutes ago...."
"HERMIONE","Right."
"HERMIONE","Perspective."
"HERMIONE","We need to get off the streets,"
"HERMIONE","get somewhere safe."
"HERMIONE","[HERMIONE SHRIEKS]"
"HERMIONE","What was that all about?"
"HERMIONE","Probably Mad-Eye's idea,"
"HERMIONE","in case Snape decided to come snooping."
"HERMIONE","[CLATTERING]"
"HERMIONE","Homenum Revelio."
"HERMIONE","We're alone."
"OLLIVANDER","I believed another wand--"
"OLLIVANDER","[OLLIVANDER GRUNTING]"
"OLLIVANDER","I believed a different wand would work,"
"OLLIVANDER","I swear."
"OLLIVANDER","There must be another way."
"OLLIVANDER","[CLATTERING]"
"OLLIVANDER","[DOOR OPENS]"
"RON","Harry? Hermione, where are you?"
"RON","I think I've found something."
"RON","Lovely."
"RON","""Regulus Arcturus Black."""
"RON","R.A.B."
"RON","long before you read this."
"RON","I have stolen the real Horcrux"
"RON","and intend to destroy it."""
"RON","R.A.B. is Sirius's brother."
"RON","Yes."
"RON","Question is,"
"RON","did he actually destroy the real Horcrux?"
"RON","[CLATTERING]"
"RON","[KREACHER GRUNTING]"
"RON","You've been spying on us, have you?"
"KREACHER","Kreacher has been watching."
"HERMIONE","Maybe he knows where the real locket is."
"HARRY","Have you ever seen this before?"
"HARRY","Kreacher?"
"HARRY","It's Master Regulus' locket."
"HARRY","But there were two, weren't there?"
"HARRY","Where's the other one?"
"HARRY","[KREACHER WHIMPERS]"
"HARRY","Kreacher doesn't know"
"HARRY","where the other locket is."
"HARRY","Yes, but did you ever see it?"
"HARRY","Was it in this house?"
"HARRY","Filthy Mudblood."
"HARRY","- Death Eaters are coming--"
"HARRY","- Ron."
"HARRY","- Answer her."
"HARRY","Yes."
"HARRY","It was here in this house."
"HARRY","A most evil object."
"HARRY","How do you mean?"
"HARRY","Before Master Regulus died,"
"HARRY","he ordered Kreacher to destroy it..."
"HARRY","...but no matter how hard Kreacher tried,"
"HARRY","he could not do it."
"HARRY","Well, where is it now?"
"HARRY","- Did someone take it?"
"HARRY","- He came in the night."
"HARRY","He took many things,"
"HARRY","including the locket."
"HARRY","Who did?"
"HARRY","Who was it, Kreacher?"
"HARRY","Mundungus."
"HARRY","Mundungus Fletcher."
"HARRY","Find him."
"HARRY","[DOOR OPENS]"
"HARRY","My father will hear about this."
"NEVILLE","Hey, losers."
"NEVILLE","He isn't here."
"NEVILLE","As your new Minister for Magic..."
"NEVILLE","...I promise to restore"
"NEVILLE","this temple of tolerance..."
"NEVILLE","...to its former glory."
"NEVILLE","Therefore, beginning today..."
"NEVILLE","...each employee"
"NEVILLE","will submit themselves..."
"NEVILLE","...for evaluation."
"But know this","You have nothing to fear..."
"But know this","...if you have nothing to hide."
"But know this","[CHUCKLES]"
"But know this","- How much?"
"But know this","- Two Galleons."
"But know this","Come on, time is money. Cheers, pal."
"But know this","- I told you."
"MAN 2","Squash him."
"MAN 2","[THUNDER RUMBLES]"
"MAN 2","[RON PLAYING BEETHOVEN'S"
"MAN 2","""FÃR ELISE"" OFF-KEY]"
"MAN 2","Be a bit gentler."
"MAN 2","[HERMIONE PLAYING"
"MAN 2","BEETHOVEN'S ""FÃR ELISE""]"
"MAN 2","[RON CONTINUES"
"MAN 2","PLAYING OFF-KEY]"
"MAN 2","[WHIRRING]"
"MAN 2","They have flesh memories."
"MAN 2","When Scrimgeour first gave it to you,"
"MAN 2","I thought it might open at your touch."
"MAN 2","That Dumbledore had hidden"
"MAN 2","something inside it."
"MAN [ON RADIO]","Many of you are wondering..."
"MAN [ON RADIO]","...why Voldemort has yet to show himself"
"MAN [ON RADIO]","now that he has vanquished..."
"MAN [ON RADIO]","...the most powerful symbol of opposition"
"MAN [ON RADIO]","to him and his followers."
"MUNDUNGUS [MUFFLED]","Get off."
"MUNDUNGUS [MUFFLED]","Harry Potter, so long it's been."
"MUNDUNGUS [IN NORMAL VOICE]","Get off me."
"MUNDUNGUS [IN NORMAL VOICE]","[ALL GRUNTING]"
"MUNDUNGUS [IN NORMAL VOICE]","As requested,"
"MUNDUNGUS [IN NORMAL VOICE]","Kreacher has returned with the thief..."
"MUNDUNGUS [IN NORMAL VOICE]","- Expelliarmus."
"MUNDUNGUS [IN NORMAL VOICE]","- ...Mundungus Fletcher."
"MUNDUNGUS [IN NORMAL VOICE]","What you playing at? Setting a pair"
"MUNDUNGUS [IN NORMAL VOICE]","of bleeding house-elves after me."
"MUNDUNGUS [IN NORMAL VOICE]","Dobby was only trying to help."
"MUNDUNGUS [IN NORMAL VOICE]","Dobby saw Kreacher in Diagon Alley,"
"MUNDUNGUS [IN NORMAL VOICE]","which Dobby thought was curious."
"MUNDUNGUS [IN NORMAL VOICE]","And then Dobby heard Kreacher"
"MUNDUNGUS [IN NORMAL VOICE]","mention Harry Potter's name."
"MUNDUNGUS [IN NORMAL VOICE]","- I just--"
"MUNDUNGUS [IN NORMAL VOICE]","- And then Dobby saw Kreacher..."
"MUNDUNGUS [IN NORMAL VOICE]","- ...talking with the thief, Mundungus--"
"MUNDUNGUS [IN NORMAL VOICE]","- I'm no thief."
"MUNDUNGUS [IN NORMAL VOICE]","You foul little-- Git."
"MUNDUNGUS [IN NORMAL VOICE]","I'm a purveyor"
"MUNDUNGUS [IN NORMAL VOICE]","of rare and wondrous objects."
"MUNDUNGUS [IN NORMAL VOICE]","You're a thief, Dung. Everyone knows it."
"MUNDUNGUS [IN NORMAL VOICE]","Master Weasley,"
"MUNDUNGUS [IN NORMAL VOICE]","so good to see you again."
"MUNDUNGUS [IN NORMAL VOICE]","Wicked trainers."
