"left","right"
"Listen","What really finishes a boggart"
"Listen","is laughter."
"Listen","You need to force it to assume"
"Listen","a shape you find truly amusing."
"Listen","Let me explain. Neville,"
"Listen","would you join me, please?"
"Listen","Come on, don't be shy. Come on."
"Listen","Come on."
"Listen","Hello. Neville, what frightens you"
"Listen","most of all?"
"Listen","Professor Snape."
"Listen","-Sorry?"
"Listen","-Professor Snape."
"Listen","Professor Snape. Yes, frightens all."
"Listen","-you live with your grandmother."
"Listen","-l don't want it to turn into her, either."
"Listen","No..."
"Listen","...it won't. I want you"
"Listen","to picture her clothes."
"Listen","Only her clothes, very clearly,"
"Listen","in your mind."
"Listen","-She carries a red handbag--"
"Listen","-We don't need to hear."
"Listen","As long as you see it, we'll see it."
"Listen","Now, when l open that wardrobe..."
"Listen","...here's what I want"
"Listen","you to do. Excuse me."
"Listen","Imagine Professor Snape"
"Listen","in your grandmother's clothes."
"Listen","Can you do that?"
"Listen","Yes. Wand at the ready."
"Listen","One, two, three."
"Listen","Think, Neville, think."
"NEVILLE","Riddikulus!"
"NEVILLE","Wonderful, Neville, wonderful!"
"NEVILLE","Incredible! Okay..."
"NEVILLE","...to the back, Neville."
"NEVILLE","Everyone, form a line...."
"NEVILLE","Form a line!"
"NEVILLE","I want everyone to picture the thing"
"NEVILLE","they fear the very most..."
"NEVILLE","...and turn it into something funny."
"NEVILLE","Next! Ron!"
"NEVILLE","Be brave!"
"NEVILLE","Wand at the ready, Ron."
"NEVILLE","Riddikulus!"
"NEVILLE","Yes! You see? Very good, very good!"
"NEVILLE","Marvelous! Absolutely, very,"
"NEVILLE","very enjoyable! Parvati! Next!"
"NEVILLE","Show us what you see."
"LUPlN","Keep your nerve. Steady."
"LUPlN","Riddikulus!"
"LUPlN","And next! Step up, step up!"
"LUPlN","Wonderful, wonderful!"
"LUPlN","Here!"
"LUPlN","Riddikulus!"
"LUPlN","Right. Sorry about that."
"LUPlN","That's enough for today."
"LUPlN","Collect your books from the back."
"LUPlN","That's the end of the lesson."
"LUPlN","Thank you! Sorry!"
"LUPlN","Sorry, you can have too much"
"LUPlN","of a good thing."
"LUPlN","Remember, these visits to Hogsmeade"
"LUPlN","village are a privilege."
"LUPlN","Should your behavior reflect poorly"
"LUPlN","on the school..."
"LUPlN","...that privilege shall not"
"LUPlN","be extended again."
"LUPlN","No permission form signed,"
"LUPlN","no visiting the village."
"LUPlN","That's the rule, Potter."
"LUPlN","Those with permission, follow me."
"LUPlN","Those without, stay put."
"LUPlN","I thought if you signed it,"
"LUPlN","then l could--"
"LUPlN","I can't. Only a parent"
"LUPlN","or a guardian can sign."
"LUPlN","Since I am neither,"
"LUPlN","it would be inappropriate."
"LUPlN","I'm sorry, Potter."
"LUPlN","That's my final word."
"LUPlN","Forget about it, guys. See you later."
"LUPlN","Professor, can l ask you something?"
"LUPlN","you facing that boggart, yes?"
"LUPlN","I thought it'd be obvious."
"LUPlN","I assumed it would take the shape"
"LUPlN","of Lord Voldemort."
"HARRY","I did think of Voldemort at first."
"HARRY","But then l remembered that night"
"HARRY","on the train..."
"HARRY","-...and the dementor."
"HARRY","-l'm very impressed."
"HARRY","That suggests what you fear the most"
"HARRY","is fear itself."
"HARRY","This is very wise."
"HARRY","Before I fainted..."
"HARRY","...l heard something."
"HARRY","A woman..."
"HARRY","...screaming."
"HARRY","Dementors force us to relive"
"HARRY","our very worst memories."
"HARRY","Our pain becomes their power."
"HARRY","I think it was my mother..."
"HARRY","...the night she was murdered."
"HARRY","The very first time l saw you, Harry,"
"HARRY","I recognized you immediately."
"HARRY","Not by your scar, by your eyes."
"HARRY","They're your mother, Lily's."
"HARRY","Yes."
"HARRY","Oh, yes. I knew her."
"HARRY","Your mother was there for me"
"HARRY","at a time when no one else was."
"HARRY","Not only was she"
"HARRY","a singularly gifted witch..."
"HARRY","...she was also"
"HARRY","an uncommonly kind woman."
"HARRY","She had a way of seeing"
"HARRY","the beauty in others..."
"HARRY","...even, and most especially, when that"
"HARRY","person could not see it in themselves."
"HARRY","And your father, James,"
"HARRY","on the other hand..."
"HARRY","...he...."
"HARRY","He had a certain, shall we say,"
"HARRY","talent for trouble."
"HARRY","A talent, rumor has it,"
"HARRY","he passed on to you."
